"","country","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","year","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year_l1","year_sq_l1"
"85","Bhutan",0.005935,85,0.003302,85,0.006598,81,2023,0,0,0,0,0,0,1,0,1,2,0,0.734,0,0,0,0,1.344,19.59,5.214,6.425,4.186,0.651,0.2,0,0,1,0,0,0,0,0,0,0,0,0,4093000,6.229,1,760,2022,4088000
"86","United Arab Emirates",0.005825,86,0.003418,83,0.006188,84,2023,0,0,0,1,1,0,0,1,1,3,0,0.366,0,0,0,1,-0.77,23.18,3.404,-1.689,2.389,0.684,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,5.728,1,696,2022,4088000
"87","Fiji",0.005351,87,0.00312,87,0.005852,86,2023,0,0,0,0,0,0,1,0,1,3,0,0.779,0,0,0,1,0.538,19.84,8.026,6.918,4.689,0.528,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,5.755,1,950,2022,4088000
"88","Mauritius",0.005225,88,0.003049,88,0.00561,87,2023,0,0,0,1,0,0,1,0,1,4,0,0.763,0,0,0,1,0.473,20.27,6.952,6.761,3.738,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.807,1,590,2022,4088000
"89","Korea, Republic of",0.005161,89,0.002765,90,0.005364,89,2023,0,0,0,1,0,0,1,0,1,4,0,0.887,0,1,0,0,0.482,25.62,1.357,6.458,1.38,0.095,0,0,1,0,0,0,0,0,0,0.01316,0,0,1,4093000,6.248,1,732,2022,4088000
"90","Taiwan",0.005068,90,0.002736,93,0.005283,90,2023,0,0,0,0,0,0,1,0,2,4,0,0.952,0,1,0,0,0.946,24.48,3.815,-0.8398,2.038,0.373,0,0,1,0,0,0,0,0,0,0,0,0,1,4093000,6.229,1,713,2022,4088000
"91","Israel",0.004811,91,0.003922,77,0.004027,110,2023,0,0,0,0,0,0,1,0,1,4,0,0.898,0,1,0,0,0.747,23.22,1.997,5.858,1.524,0.376,0.43,0,0,0,1,0,14.48,0,0,0,0,0,0,4093000,6.248,1,666,2022,4088000
"92","Kazakhstan",0.004771,92,0.001964,113,0.005209,91,2023,0,0,0,1,0,1,0,1,2,2,0,0.52,0,1,0,1,0.245,24.25,5.1,6.09,2.501,0.538,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.044,1,705,2022,4088000
"93","Guatemala",0.004771,93,0.002761,91,0.005381,88,2023,0,0,0,1,0,0,1,1,1,4,0,0.784,0,0,0,1,0.196,24.07,3.484,5.648,4.153,0.511,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.524,1,90,2022,4088000
"94","Hungary",0.004672,94,0.002509,98,0.005031,92,2023,0,0,0,1,0,0,1,0,1,4,0,0.828,0,1,0,1,0.362,23.19,-0.9077,7.297,1.662,0.232,0,0,0,0,0,0,0,0,0,0.01111,0,0,1,4093000,6.728,1,310,2022,4088000
"95","East Timor",0.004577,95,0.002759,92,0.004957,93,2023,0,0,0,0,0,0,1,0,2,4,0,0.858,0,1,0,0,0.505,20.38,-14.36,6.609,6.32,0.802,0,0,1,0,0,0,0,0,0,0,0,0,1,4093000,4.459,1,860,2022,4088000
"96","Rumania",0.004566,96,0.00251,97,0.004867,94,2023,0,0,0,0,0,0,1,0,1,4,0,0.968,0,1,0,0,0.373,24.18,2.148,6.376,2.279,0.207,0,0,0,0,0,0,0,0,0,0.02222,0,0,1,4093000,7.19,1,360,2022,4088000
"97","Comoros",0.004347,97,0.00271,94,0.004826,95,2023,0,0,0,1,0,0,1,0,1,3,0,0.273,0,0,0,0,1.027,19.7,2.701,5.583,6.052,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.615,1,581,2022,4088000
"98","Swaziland",0.004328,98,0.002569,96,0.004638,97,2023,0,0,1,1,1,0,0,1,1,3,0,0.07,0,0,1,1,0.314,20.21,4.842,6.514,6.827,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.672,1,572,2022,4088000
"99","Benin",0.0042,99,0.002631,95,0.004615,98,2023,0,0,0,0,0,0,1,0,1,4,0,0.78,0,1,0,0,0.889,23.71,6.353,5.682,7.282,0.764,0,0,0,0,0,0,4.858,0,0,0,0,0,0,4093000,6,1,434,2022,4088000
"100","Ecuador",0.004148,100,0.002417,99,0.00468,96,2023,0,0,0,0,0,0,1,0,1,4,0,0.851,0,0,0,1,0.867,24.12,2.355,5.854,2.98,0.528,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.6,1,130,2022,4088000
"101","Poland",0.004131,101,0.002211,105,0.004469,99,2023,0,0,0,1,0,0,1,0,0,4,0,0.78,0,1,0,0,2.354,25.13,0.1606,6.775,1.756,0.069,0,0,0,0,0,0,0,0,0,0.01111,0,0,1,4093000,6.728,1,290,2022,4088000
"102","Honduras",0.004007,102,0.002376,101,0.004454,100,2023,0,0,0,0,0,0,1,0,1,4,0,0.902,0,0,0,1,-0.118,23.34,3.583,6.614,3.575,0.229,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.524,1,91,2022,4088000
"103","Croatia",0.003976,103,0.002159,107,0.004254,102,2023,0,0,0,0,0,0,1,0,1,4,0,0.892,0,1,0,1,0.646,21.88,3.061,6.78,1.922,0.171,0,0,0,0,0,0,0,0,0,0,0,0,1,4093000,5.044,1,344,2022,4088000
"104","Serbia",0.003958,104,0.002143,108,0.004348,101,2023,0,0,0,1,0,0,1,0,1,4,0,0.783,0,1,0,1,0.946,22.66,2.528,6.957,1.917,0.396,0.004,0,0,0,0,0,0,0,0,0.04444,0,0,1,4093000,6.728,1,345,2022,4088000
"105","Maldives",0.003862,105,0.002383,100,0.004232,104,2023,0,0,0,0,0,0,1,1,1,0,0,0.804,0,0,0,1,-0.482,18.99,3.973,0.3101,2.139,0.059,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,5.883,1,781,2022,4088000
"106","Czech Republic",0.003821,106,0.002135,110,0.004046,109,2023,0,0,0,0,0,0,1,0,1,4,0,0.969,0,1,0,0,1.375,23.37,-0.3115,7.118,1.519,0.262,0,0,0,0,0,0,0,0,0,0,0,0,1,4093000,4.954,1,316,2022,4088000
"107","Ghana",0.003817,107,0.002112,111,0.004252,103,2023,0,0,0,0,0,0,1,0,2,4,0,0.92,0,1,0,0,0.754,25.02,2.945,6.109,5.399,0.736,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.066,1,452,2022,4088000
"108","Haiti",0.003815,108,0.002139,109,0.004215,105,2023,0,0,0,1,0,0,1,1,1,4,0,0.645,0,1,0,1,-0.859,23.48,-1.864,4.944,6.536,0.105,0,1,0,0,0,0,0,0,0,0.02222,0,0,1,4093000,6.492,1,41,2022,4088000
"109","Panama",0.003772,109,0.002268,102,0.004104,107,2023,0,0,0,0,0,0,1,0,1,4,0,0.917,0,0,0,1,-0.642,22.09,7.317,6.584,3.525,0.612,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,6.919,1,95,2022,4088000
"110","Canada",0.003765,110,0.002265,103,0.00408,108,2023,0,0,0,0,0,0,1,0,1,4,0,0.92,0,0,0,0,1.539,25.26,1.066,6.076,2.159,0.73,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.295,1,20,2022,4088000
"111","Paraguay",0.003717,111,0.002226,104,0.004147,106,2023,0,0,0,0,0,0,1,1,1,4,0,0.803,0,0,0,1,-0.184,22.71,4.714,6.375,3.761,0.179,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,150,2022,4088000
"112","Slovakia",0.003536,112,0.002002,112,0.003804,111,2023,0,0,0,0,0,0,1,0,1,4,0,0.961,0,1,0,0,1.23,22.37,1.596,7.504,2.167,0.241,0,0,0,0,0,0,0,0,0,0,0,0,1,4093000,4.954,1,317,2022,4088000
"113","Cyprus",0.00346,113,0.002195,106,0.003627,112,2023,0,0,0,0,0,0,1,0,2,4,0,0.912,0,0,0,0,1.296,20.27,2.467,7.489,1.442,0.347,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6,1,352,2022,4088000
"114","Malaysia",0.003323,114,0.001768,115,0.00973,68,2023,0,0,0,1,0,0,1,0,1,2,0,0.718,0,1,0,1,0.835,25.03,3.68,7.043,2.433,0.57,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,6.066,1,820,2022,4088000
"115","Turkmenistan",0.003301,115,0.001748,116,0.003438,114,2023,0,0,0,1,1,0,0,1,1,0,0,0.119,0,1,0,1,-1.933,22.64,6.3,5.136,5.877,0.255,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.044,1,701,2022,4088000
"116","Saudi Arabia",0.003144,116,0.001854,114,0.003582,113,2023,0,0,1,1,1,0,0,1,1,1,0,0.149,1,1,0,1,-1.573,25.14,-0.7549,5.957,2.236,0.224,0.17,0,0,0,1,0,0,0,0,0,0,0,0,4093000,6.524,1,670,2022,4088000
"117","Chile",0.003131,117,0.001717,117,0.003369,116,2023,0,0,0,0,0,0,1,0,1,4,0,0.973,0,1,0,1,1.002,24.23,0.2188,5.93,2.365,0.439,0.099,1,0,0,0,0,0,0,0,0.01111,0,0,1,4093000,7.687,1,155,2022,4088000
"118","United Kingdom",0.002991,118,0.00167,119,0.0033,117,2023,0,0,0,0,0,0,1,0,1,4,0,0.971,0,1,0,0,0.714,26.03,0.104,6.035,1.817,0.399,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,200,2022,4088000
"119","Dominican Republic",0.002891,119,0.001679,118,0.003229,118,2023,0,0,0,0,0,0,1,0,1,4,0,0.956,0,1,0,0,0.349,23.43,2.361,5.633,5.029,0.453,0.023,1,0,0,0,0,0,0,0,0.01111,0,0,1,4093000,7.492,1,42,2022,4088000
"120","Japan",0.002858,120,0.001567,120,0.003128,119,2023,0,0,0,0,0,0,1,0,1,4,0,0.881,0,1,0,0,1.373,26.89,1.923,5.55,1.336,0.019,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,740,2022,4088000
"121","Spain",0.002771,121,0.001548,121,0.003034,121,2023,0,0,0,0,0,0,1,0,1,4,0,0.934,0,1,0,0,1.161,25.53,2.503,6.205,1.548,0.669,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,230,2022,4088000
"122","Germany",0.002749,122,0.001528,123,0.003035,120,2023,0,0,0,0,0,0,1,0,1,4,0,0.976,0,1,0,0,1.572,26.33,-0.3049,6.494,1.615,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.304,1,255,2022,4088000
"123","Gambia",0.00273,123,0.001532,122,0.003017,123,2023,0,0,0,0,0,0,1,0,1,4,0,0.851,0,1,0,1,0.646,21.4,5.296,5.343,5.548,0.762,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.883,1,420,2022,4088000
"124","France",0.002703,124,0.001512,124,0.003021,122,2023,0,0,0,0,0,0,1,0,1,4,0,0.947,0,1,0,0,1.155,26.02,0.7037,6.078,1.648,0.1,0.006,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,220,2022,4088000
"125","Guyana",0.00252,125,0.001461,125,0.002872,124,2023,0,0,0,0,0,0,1,0,1,4,0,0.833,0,0,0,1,1.424,19.63,33.02,-2.833,4.626,0.695,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,5.858,1,110,2022,4088000
"126","Italy/Sardinia",0.002469,126,0.001385,129,0.002709,126,2023,0,0,0,0,0,0,1,0,1,4,0,0.937,0,1,0,0,1.701,25.81,0.9207,6.103,1.481,0.11,0.001,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,325,2022,4088000
"127","Mongolia",0.002454,127,0.001405,127,0.002718,125,2023,0,0,0,0,0,0,1,0,2,4,0,0.777,0,1,0,1,-0.593,21.72,7.023,7.202,3.067,0.315,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,6.687,1,712,2022,4088000
"128","Lesotho",0.002419,128,0.001441,126,0.002558,128,2023,0,0,0,0,0,0,1,0,1,4,0,0.851,0,1,0,0,1.063,21.15,0.8981,7.187,8.059,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.858,1,570,2022,4088000
"129","Australia",0.002373,129,0.001357,130,0.002627,127,2023,0,0,0,0,0,0,1,0,1,4,0,0.943,0,1,0,0,0.819,24.67,3.017,5.587,1.664,0.276,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,6.943,1,900,2022,4088000
"130","New Zealand",0.002185,130,0.001251,131,0.002395,130,2023,0,0,0,0,0,0,1,0,1,4,0,0.981,0,1,0,1,0.669,22.32,0.6322,5.757,1.9,0.485,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,6.87,1,920,2022,4088000
"131","Belarus (Byelorussia)",0.002123,131,0.0009971,149,0.001989,145,2023,0,0,0,1,0,1,0,0,1,2,0,0.029,0,1,1,0,0.901,23.13,3.886,7.055,1.262,0.309,0.031,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,370,2022,4088000
"132","Greece",0.002109,132,0.001027,148,0.001984,146,2023,0,0,0,0,0,1,0,0,1,3,0,0.869,0,1,0,0,2.284,23.3,2.012,6.565,1.618,0.167,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.615,1,350,2022,4088000
"133","Moldova",0.002098,133,0.001067,146,0.001954,147,2023,0,0,0,0,0,1,0,0,1,4,0,0.913,0,1,0,0,0.872,21.25,0.7832,6.572,3.375,0.427,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,359,2022,4088000
"134","Singapore",0.002059,134,0.001178,135,0.002236,132,2023,0,0,0,1,0,0,1,0,1,3,0,0.745,0,1,0,1,0.906,22.5,1.075,8.282,1.306,0.395,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,5.883,1,830,2022,4088000
"135","Surinam",0.002054,135,0.001396,128,0.0008417,169,2023,0,0,0,0,0,0,1,0,1,4,0,0.924,0,0,0,0,0.475,19.25,2.075,-0.11,3.813,0.73,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,5.615,1,115,2022,4088000
"136","Netherlands",0.002047,136,0.001189,133,0.002259,131,2023,0,0,0,0,0,0,1,0,1,4,0,0.901,0,1,0,0,1.908,24.09,0.116,7.311,1.744,0.354,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,210,2022,4088000
"137","Macedonia (Former Yugoslav Republic of)",0.002038,137,0.001207,132,0.002199,133,2023,0,0,0,0,0,0,1,0,1,4,0,0.772,0,1,0,1,-0.467,20.79,1.027,7.314,2.309,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,343,2022,4088000
"138","Belgium",0.001973,138,0.001154,137,0.002176,134,2023,0,0,0,0,0,0,1,0,1,4,0,0.959,0,1,0,0,1.819,23.5,1.365,7.445,1.657,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.6,1,211,2022,4088000
"139","Kuwait",0.001953,139,0.001182,134,0.002082,140,2023,0,0,0,0,1,0,0,0,1,3,0,0.577,0,1,0,1,-0.583,22.04,-2.23,-2.489,2.754,0.765,0.03,0,0,0,1,0,0,0,0,0,0,0,0,4093000,5.883,1,690,2022,4088000
"140","Austria",0.001947,140,0.001171,136,0.002086,139,2023,0,0,0,0,0,0,1,0,2,3,0,0.957,0,1,0,0,0.865,23.12,-0.8288,6.859,1.55,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.728,1,305,2022,4088000
"141","Portugal",0.001926,141,0.00114,139,0.00212,136,2023,0,0,0,0,0,0,1,0,1,4,0,0.924,0,1,0,0,0.765,23.33,2.261,6.555,1.439,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,235,2022,4088000
"142","Switzerland",0.001908,142,0.001133,141,0.0021,138,2023,0,0,0,0,0,0,1,0,1,4,0,0.971,0,1,0,0,1.211,23.08,0.7161,7.111,1.862,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,225,2022,4088000
"143","Oman",0.001891,143,0.001137,140,0.002149,135,2023,0,0,0,1,1,0,0,0,1,3,0,0.4,0,1,0,1,-0.774,22.15,1.3,6.553,2.715,0.597,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,7.7,1,698,2022,4088000
"144","Qatar",0.001877,144,0.001149,138,0.002101,137,2023,0,0,0,1,1,0,0,1,1,1,0,0.109,0,1,0,1,-2.306,21.37,4.209,6.647,2.126,0.708,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,5.728,1,694,2022,4088000
"145","Tunisia",0.001857,145,0.001077,144,0.002025,142,2023,0,0,0,0,0,0,1,0,0,3,0,0.623,0,1,0,0,2.517,23.57,0.4236,6.77,3.199,0.034,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,6.087,1,616,2022,4088000
"146","Bulgaria",0.001814,146,0.001082,143,0.002015,143,2023,0,0,0,0,0,0,1,0,1,4,0,0.775,0,1,0,0,1.343,22.62,1.846,6.89,2.313,0.289,0.002,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.19,1,355,2022,4088000
"147","Sweden",0.001806,147,0.001074,145,0.001995,144,2023,0,0,0,0,0,0,1,0,1,4,0,0.9,0,1,0,0,1.475,23.33,-0.1962,6.694,1.368,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,380,2022,4088000
"148","Albania",0.001803,148,0.001113,142,0.002042,141,2023,0,0,0,1,0,0,1,0,2,4,0,0.86,0,1,0,0,-0.367,21.39,3.439,6.402,2.559,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.794,1,339,2022,4088000
"149","Kosovo",0.001674,149,0.00104,147,0.001895,148,2023,0,0,0,0,0,0,1,0,1,4,0,0.865,0,1,0,0,-0.45,20.74,3.338,6.784,2.872,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,4,1,347,2022,4088000
"150","Denmark",0.001635,150,0.0009815,150,0.001803,149,2023,0,0,0,0,0,0,1,0,1,4,0,0.981,0,1,0,0,1.574,22.5,1.89,7.005,1.738,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,390,2022,4088000
"151","Ireland",0.001597,151,0.0009781,151,0.00176,151,2023,0,0,0,0,0,0,1,0,1,4,0,0.977,0,1,0,0,1.416,22.33,-3.199,7.875,1.594,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.687,1,205,2022,4088000
"152","Armenia",0.001588,152,0.0009546,152,0.001775,150,2023,0,0,0,1,0,0,1,0,1,3,0,0.875,0,1,0,0,0.961,21.41,8.7,6.871,2.937,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,371,2022,4088000
"153","Lithuania",0.001481,153,0.0009174,154,0.001649,153,2023,0,0,0,0,0,0,1,0,1,4,0,0.824,0,1,0,0,1.112,21.45,-0.3361,7.259,1.593,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,368,2022,4088000
"154","Bolivia",0.001473,154,0.0008565,157,0.001672,152,2023,0,0,0,1,0,0,1,0,1,4,0,0.804,0,1,0,1,1.666,23.56,2.443,5.879,4.12,0.572,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.637,1,145,2022,4088000
"155","Finland",0.001472,155,0.0008938,156,0.001626,154,2023,0,0,0,0,0,0,1,0,1,4,0,0.978,0,1,0,0,2.192,22.41,-1.035,6.364,1.315,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.741,1,375,2022,4088000
"156","Solomon Islands",0.001447,156,0.0009198,153,0.001623,155,2023,0,0,0,0,0,0,1,0,1,4,0,0.853,0,1,0,0,-0.077,19.5,2.95,6.286,3.863,0.097,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,5.524,1,940,2022,4088000
"157","Latvia",0.001436,157,0.0009011,155,0.001589,156,2023,0,0,0,0,0,0,1,0,2,4,0,0.975,0,1,0,0,1.437,20.84,-0.2825,7.044,1.555,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,367,2022,4088000
"158","Norway",0.001418,158,0.0008561,158,0.001564,157,2023,0,0,0,0,0,0,1,0,1,4,0,0.859,0,1,0,0,2.599,22.4,0.5141,6.316,1.263,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.895,1,385,2022,4088000
"159","Slovenia",0.001296,159,0.0008056,160,0.001425,160,2023,0,0,0,0,0,0,1,0,1,4,0,0.86,0,1,0,0,1.691,21.02,1.587,7.334,1.331,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,349,2022,4088000
"160","Cape Verde",0.001291,160,0.0008185,159,0.001453,159,2023,0,0,0,0,0,0,1,0,1,4,0,0.929,0,1,0,0,0.81,19.19,5.149,6.553,3.072,0.442,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.615,1,402,2022,4088000
"161","Cuba",0.001291,161,0.0007672,162,0.001476,158,2023,0,0,0,1,1,0,0,0,1,2,0,0.071,0,1,1,0,2.165,23.42,1.775,6.473,2.098,0.517,0,1,0,0,0,0,0,0,0,0.01111,0,0,1,4093000,6.931,1,40,2022,4088000
"162","Estonia",0.00124,162,0.0007922,161,0.001379,161,2023,0,0,0,0,0,0,1,0,1,4,0,0.898,0,1,0,0,1.408,20.38,-3.006,7.287,1.12,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,366,2022,4088000
"163","Luxembourg",0.001091,163,0.0007054,163,0.001239,162,2023,0,0,0,0,0,0,1,0,1,4,0,0.953,0,1,0,0,1.782,19.35,-1.096,8.623,1.504,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.295,1,212,2022,4088000
"164","Montenegro",0.001088,164,0.0006882,164,0.001226,163,2023,0,0,0,0,0,0,1,0,1,3,0,0.891,0,1,0,0,2.088,19.23,5.982,6.907,1.47,0.7,0.01,0,0,0,0,0,0,0,0,0,0,0,0,4093000,4.17,1,341,2022,4088000
"165","Malta",0.001045,165,0.000669,165,0.001155,164,2023,0,0,0,0,0,0,1,0,1,4,0,0.889,0,1,0,0,1.397,19.08,5.614,8.295,2.18,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.907,1,338,2022,4088000
"166","Trinidad and Tobago",0.001029,166,0.0006427,166,0.0009697,167,2023,0,0,0,0,0,0,1,0,1,4,0,0.88,0,1,0,1,0.893,20.55,2.103,-0.6188,3.847,0.655,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,5.954,1,52,2022,4088000
"167","Costa Rica",0.0009866,167,0.0006276,167,0.001108,165,2023,0,0,0,0,0,0,1,0,1,4,0,0.955,0,1,0,0,0.56,22.31,5.112,6.135,2.688,0.398,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.524,1,94,2022,4088000
"168","Jamaica",0.0008417,168,0.0005447,168,0.001021,166,2023,0,0,0,0,0,0,1,0,1,4,0,0.924,0,1,0,0,1.818,21.43,2.2,-2.928,3.948,0.21,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,5.954,1,51,2022,4088000
"169","Uruguay",0.0007936,169,0.0005203,169,0.0008794,168,2023,0,0,0,0,0,0,1,0,1,4,0,0.941,0,1,0,0,1.239,21.71,0.3675,5.693,2.239,0.176,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.6,1,165,2022,4088000
