"","country","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","year","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year_l1","year_sq_l1"
"20","Iraq",0.03039,20,0.01596,22,0.03311,22,2023,1,0,0,1,0,1,0,0,1,3,0,0.525,0,0,0,1,-0.021,25.44,-2.936,5.943,4.643,0.446,0,0,0,0,1,0,7.672,0,1,0.06667,0,0,1,4093000,6.524,1,645,2022,4088000
"21","Mali",0.02922,21,0.02034,17,0.03493,19,2023,0,0,0,1,0,0,1,0,1,3,0,0.674,0,0,0,0,1.475,24.47,5.237,6.044,7.632,0.852,0,0,0,0,0,0,10.3,1,0,0,0,0,0,4093000,6,1,432,2022,4088000
"22","Congo",0.02847,22,0.01339,29,0.02888,30,2023,0,0,0,1,0,0,1,0,1,3,1,0.114,0,0,0,1,-0.189,22.54,1.907,6.588,5.73,0.704,0,0,0,0,0,0,0,0,0,0.04688,0,0,1,4093000,6,1,484,2022,4088000
"23","Tajikistan",0.02843,23,0.01134,39,0.05228,11,2023,0,0,0,1,0,1,0,1,1,0,0,0.045,0,0,0,1,-1.972,23.27,8.3,6.032,5.015,0.367,0,0,0,1,0,0,0,0,0,0.0303,0,0,1,4093000,5.044,1,702,2022,4088000
"24","Egypt",0.02823,24,0.01183,36,0.03939,17,2023,0,0,1,1,0,1,0,0,1,2,0,0.129,0,0,0,1,-0.306,26.75,3.759,5.338,3.634,0.041,0,0,0,0,1,0,0,0,0,0.01408,0,0,1,4093000,6.672,1,651,2022,4088000
"25","Somalia",0.02803,25,0.02075,16,0.03022,27,2023,1,0,1,1,0,0,1,0,1,2,0,0.69,0,0,0,0,-0.098,24.11,3.103,6.563,8.487,0.222,0,0,0,0,0,0,11.91,0,1,0.04688,0,0,1,4093000,6,1,520,2022,4088000
"26","Cote D’Ivoire",0.02747,26,0.01355,27,0.02798,32,2023,0,0,0,0,0,0,1,0,1,4,0,0.684,0,0,0,1,0.031,24.78,6.536,5.629,7.477,0.731,0,0,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,6,1,437,2022,4088000
"27","Angola",0.02697,27,0.01354,28,0.0337,21,2023,0,0,0,0,0,0,1,0,1,3,0,0.637,0,0,0,1,-0.313,25.13,0.856,6.056,6.369,0.779,0,0,0,0,0,0,0,0,0,0.02041,0,0,1,4093000,5.615,1,540,2022,4088000
"28","South Sudan",0.02692,28,0.01257,32,0.0291,29,2023,1,0,1,1,0,1,0,1,1,3,0,0.171,1,0,0,1,-1.244,23.4,-5.2,-1.522,8.039,0.73,0.04,0,0,0,0,0,0,0,1.585,0.07692,0,0,1,4093000,3.7,1,626,2022,4088000
"29","Central African Republic",0.02684,29,0.01701,21,0.02996,28,2023,1,0,0,1,0,0,1,0,0,4,0,0.312,0,0,0,1,0.604,22.45,0.8703,5.442,8.658,0.79,0,0,0,0,0,0,8.033,0,1,0.01562,0,0,1,4093000,6,1,482,2022,4088000
