"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2","gdppcgrowth.combined","tradeshare.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage_new_ln","includesnonstate","ccode"
"80","Namibia",0.008134,80,0.005334,85,0.008736,79,0,0,0,0,0,0,1,0,1,4,0,0.847,0,0,0,1,0.516,21.31,2.674,6.776,5.215,0.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.087,1,565
"81","Bhutan",0.008123,81,0.00572,81,0.008724,80,0,0,0,0,0,0,1,0,1,2,0,0.734,0,0,0,0,1.344,19.59,4.546,6.425,4.398,0.651,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,2023,6.229,1,760
"82","Mexico",0.008042,82,0.005567,84,0.008694,81,0,0,0,1,0,0,1,0,1,4,0,0.805,0,0,0,1,0.582,26.94,2.464,6.212,3.217,0.587,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.665,1,70
"83","United Arab Emirates",0.007882,83,0.005807,79,0.008534,82,0,0,0,1,1,0,0,1,1,3,0,0.366,0,0,0,1,-0.77,23.18,2.581,-1.689,2.205,0.684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,2023,5.728,1,696
"84","Argentina",0.00772,84,0.0063,76,0.00821,83,0,0,0,0,0,0,1,0,1,4,0,0.936,0,0,0,0,1.637,25.48,-2.436,4.753,2.997,0.158,0,1,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,7.7,1,160
"85","Botswana",0.007383,85,0.005145,88,0.003552,126,0,0,0,0,0,0,1,0,1,4,0,0.842,0,0,0,0,0.357,21.35,1.001,6.074,5.328,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,5.858,1,571
"86","Kazakhstan",0.007035,86,0.004712,91,0.007662,85,0,0,0,1,0,1,0,1,2,2,0,0.52,0,1,0,1,0.245,24.25,3.699,6.09,2.85,0.538,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,705
"87","Israel",0.007019,87,0.006857,72,0.005698,95,0,0,0,0,0,0,1,0,1,4,0,0.898,0,1,0,0,0.747,23.22,-0.08541,5.858,1.668,0.376,0.43,0,0,0,1,0,0,14.48,0,0,0,0,0,0,4093000,2023,6.248,1,666
"88","Fiji",0.007,88,0.004438,93,0.007373,86,0,0,0,0,0,0,1,0,1,3,0,0.779,0,0,0,1,0.538,19.84,7.264,6.918,4.781,0.528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,5.755,1,950
"89","El Salvador",0.006933,89,0.005187,87,0.006425,89,0,0,0,1,0,0,1,0,0,4,0,0.411,0,0,0,1,0.042,22.6,3.047,6.338,3.084,0.165,0,1,0,0,0,0,1,0,0,0,2,0,0,1,4093000,2023,7.524,1,92
"90","Eswatini",0.006178,90,0.005233,86,0.006807,87,0,0,1,1,1,0,0,1,1,3,0,0.07,0,0,1,1,0.314,20.21,4.05,6.514,6.13,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,5.672,1,572
"91","Guatemala",0.006122,91,0.00473,90,0.006762,88,0,0,0,1,0,0,1,1,1,4,0,0.784,0,0,0,1,0.196,24.07,2.047,5.648,4.2,0.511,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.524,1,90
"92","Mauritius",0.005861,92,0.004103,98,0.00628,91,0,0,0,1,0,0,1,0,1,4,0,0.763,0,0,0,1,0.473,20.27,7.078,6.761,3.591,0.466,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.807,1,590
"93","Comoros",0.005851,93,0.004621,92,0.006374,90,0,0,0,1,0,0,1,0,1,3,0,0.273,0,0,0,0,1.027,19.7,0.8569,5.583,6.097,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,5.615,1,581
"94","Benin",0.005693,94,0.005048,89,0.006253,92,0,0,0,0,0,0,1,0,1,4,0,0.78,0,1,0,0,0.889,23.71,3.561,5.682,7.233,0.764,0,0,0,0,0,0,1,4.858,0,0,0,0,0,0,4093000,2023,6,1,434
"95","Haiti",0.005602,95,0.004297,95,0.006123,93,0,0,0,1,0,0,1,1,1,4,0,0.645,0,1,0,1,-0.859,23.48,-3.034,4.944,6.586,0.105,0,1,0,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,6.492,1,41
"96","Ecuador",0.005391,96,0.004259,96,0.005911,94,0,0,0,0,0,0,1,0,1,4,0,0.851,0,0,0,1,0.867,24.12,1.289,5.854,3.106,0.528,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.6,1,130
"97","South Korea",0.005379,97,0.003892,102,0.005625,96,0,0,0,1,0,0,1,0,1,4,0,0.887,0,1,0,0,0.482,25.62,1.278,6.458,1.44,0.095,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,6.248,1,732
"98","Timor-Leste",0.005211,98,0.00398,100,0.005592,97,0,0,0,0,0,0,1,0,2,4,0,0.858,0,1,0,0,0.505,20.38,-15.57,6.609,6.129,0.802,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4093000,2023,4.459,1,860
"99","Honduras",0.005071,99,0.004108,97,0.005565,98,0,0,0,0,0,0,1,0,1,4,0,0.902,0,0,0,1,-0.118,23.34,2.009,6.614,3.599,0.229,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.524,1,91
"100","Malaysia",0.004933,100,0.003108,116,0.01173,66,0,0,0,1,0,0,1,0,1,2,0,0.718,0,1,0,1,0.835,25.03,2.561,7.043,2.528,0.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,6.066,1,820
"101","Hungary",0.004928,101,0.003437,109,0.005326,100,0,0,0,1,0,0,1,0,1,4,0,0.828,0,1,0,1,0.362,23.19,-0.3582,7.297,1.786,0.232,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4093000,2023,6.728,1,310
"102","Ghana",0.004922,102,0.003814,103,0.005387,99,0,0,0,0,0,0,1,0,2,4,0,0.92,0,1,0,0,0.754,25.02,0.9955,6.109,5.54,0.736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,6.066,1,452
"103","Romania",0.004835,103,0.003666,106,0.005249,103,0,0,0,0,0,0,1,0,1,4,0,0.968,0,1,0,0,0.373,24.18,2.1,6.376,2.202,0.207,0,0,0,0,0,1,1,0,0,0,2,0,0,1,4093000,2023,7.19,1,360
"104","Saudi Arabia",0.004758,104,0.003711,105,0.00527,101,0,0,1,1,1,0,0,1,1,1,0,0.149,1,1,0,1,-1.573,25.14,-2.201,5.957,2.249,0.224,0.17,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,2023,6.524,1,670
"105","Paraguay",0.004719,105,0.003919,101,0.005269,102,0,0,0,0,0,0,1,1,1,4,0,0.803,0,0,0,1,-0.184,22.71,3.481,6.375,3.739,0.179,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.7,1,150
"106","Serbia",0.004712,106,0.00332,112,0.005062,107,0,0,0,1,0,0,1,0,1,4,0,0.783,0,1,0,1,0.946,22.66,3.247,6.957,2.041,0.396,0.004,0,0,0,0,1,1,0,0,0,4,0,0,1,4093000,2023,6.728,1,345
"107","Panama",0.00469,107,0.003715,104,0.005148,105,0,0,0,0,0,0,1,0,1,4,0,0.917,0,0,0,1,-0.642,22.09,5.888,6.584,3.544,0.612,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,6.919,1,95
"108","Canada",0.004686,108,0.004042,99,0.005077,106,0,0,0,0,0,0,1,0,1,4,0,0.92,0,0,0,0,1.539,25.26,-1.855,6.076,2.065,0.73,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.295,1,20
"109","Turkmenistan",0.004639,109,0.004375,94,0.005181,104,0,0,0,1,1,0,0,1,1,0,0,0.119,0,1,0,1,-1.933,22.64,0.3656,5.136,5.637,0.255,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,701
"110","Poland",0.004622,110,0.003665,107,0.005009,108,0,0,0,1,0,0,1,0,0,4,0,0.78,0,1,0,0,2.354,25.13,0.5316,6.775,1.786,0.069,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4093000,2023,6.728,1,290
"111","Maldives",0.004537,111,0.003575,108,0.00496,109,0,0,0,0,0,0,1,1,1,0,0,0.804,0,0,0,1,-0.482,18.99,4.525,0.3101,2.076,0.059,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.883,1,781
"112","United Kingdom",0.004299,112,0.003081,117,0.004689,110,0,0,0,0,0,0,1,0,1,4,0,0.971,0,1,0,0,0.714,26.03,-0.7147,6.035,1.924,0.399,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,2023,7.7,1,200
"113","Japan",0.004194,113,0.00305,118,0.004533,111,0,0,0,0,0,0,1,0,1,4,0,0.881,0,1,0,0,1.373,26.89,2.421,5.55,1.284,0.019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,7.7,1,740
"114","Croatia",0.004097,114,0.003034,120,0.004482,112,0,0,0,0,0,0,1,0,1,4,0,0.892,0,1,0,1,0.646,21.88,3.126,6.78,1.872,0.171,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4093000,2023,5.044,1,344
"115","Czech Republic",0.003874,115,0.003144,114,0.004199,114,0,0,0,0,0,0,1,0,1,4,0,0.969,0,1,0,0,1.375,23.37,-2.159,7.118,1.492,0.262,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4093000,2023,4.954,1,316
"116","Cyprus",0.003788,116,0.003194,113,0.00406,118,0,0,0,0,0,0,1,0,2,4,0,0.912,0,0,0,0,1.296,20.27,3.637,7.489,1.766,0.347,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,6,1,352
"117","Chile",0.003755,117,0.003124,115,0.004075,116,0,0,0,0,0,0,1,0,1,4,0,0.973,0,1,0,1,1.002,24.23,0.08677,5.93,2.034,0.439,0.099,1,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,7.687,1,155
"118","The Gambia",0.003733,118,0.00293,126,0.004071,117,0,0,0,0,0,0,1,0,1,4,0,0.851,0,1,0,1,0.646,21.4,2.745,5.343,5.43,0.762,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.883,1,420
"119","Guyana",0.003726,119,0.003344,111,0.004163,115,0,0,0,0,0,0,1,0,1,4,0,0.833,0,0,0,1,1.424,19.63,32.18,-2.833,4.619,0.695,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.858,1,110
"120","Slovakia",0.003598,120,0.002982,123,0.003931,121,0,0,0,0,0,0,1,0,1,4,0,0.961,0,1,0,0,1.23,22.37,1.69,7.504,2.125,0.241,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4093000,2023,4.954,1,317
"121","Germany",0.003576,121,0.002959,124,0.00394,120,0,0,0,0,0,0,1,0,1,4,0,0.976,0,1,0,0,1.572,26.33,-1.112,6.494,1.723,0.189,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.304,1,255
"122","Dominican Republic",0.003571,122,0.003387,110,0.003957,119,0,0,0,0,0,0,1,0,1,4,0,0.956,0,1,0,0,0.349,23.43,1.42,5.633,5.062,0.453,0.023,1,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,7.492,1,42
"123","France",0.00354,123,0.002946,125,0.003929,122,0,0,0,0,0,0,1,0,1,4,0,0.947,0,1,0,0,1.155,26.02,0.4099,6.078,1.872,0.1,0.006,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.7,1,220
"124","Spain",0.003508,124,0.002787,128,0.003874,123,0,0,0,0,0,0,1,0,1,4,0,0.934,0,1,0,0,1.161,25.53,1.242,6.205,1.545,0.669,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.7,1,230
"125","Kuwait",0.00325,125,0.003012,121,0.003476,127,0,0,0,0,1,0,0,0,1,3,0,0.577,0,1,0,1,-0.583,22.04,-3.165,-2.489,2.692,0.765,0.03,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,2023,5.883,1,690
"126","Italy",0.003223,126,0.002747,129,0.003585,124,0,0,0,0,0,0,1,0,1,4,0,0.937,0,1,0,0,1.701,25.81,1.229,6.103,1.498,0.11,0.001,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.7,1,325
"127","Lesotho",0.003218,127,0.003047,119,0.003561,125,0,0,0,0,0,0,1,0,1,4,0,0.851,0,1,0,0,1.063,21.15,-0.1623,7.187,7.518,0.313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.858,1,570
"128","Belarus",0.003152,128,0.002732,130,0.002712,140,0,0,0,1,0,1,0,0,1,2,0,0.029,0,1,1,0,0.901,23.13,4.45,7.055,1.38,0.309,0.031,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,370
"129","Greece",0.003131,129,0.002815,127,0.002677,144,0,0,0,0,0,1,0,0,1,3,0,0.869,0,1,0,0,2.284,23.3,2.658,6.565,1.823,0.167,0.03,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.615,1,350
"130","Mongolia",0.003117,130,0.002418,137,0.003388,129,0,0,0,0,0,0,1,0,2,4,0,0.777,0,1,0,1,-0.593,21.72,5.508,7.202,3.248,0.315,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,6.687,1,712
"131","Australia",0.003113,131,0.00263,132,0.003432,128,0,0,0,0,0,0,1,0,1,4,0,0.943,0,1,0,0,0.819,24.67,0.6033,5.587,1.786,0.276,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,6.943,1,900
"132","Singapore",0.003034,132,0.002194,145,0.003227,131,0,0,0,1,0,0,1,0,1,3,0,0.745,0,1,0,1,0.906,22.5,-3.718,8.282,1.314,0.395,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,5.883,1,830
"133","Moldova",0.00302,133,0.00273,131,0.002569,147,0,0,0,0,0,1,0,0,1,4,0,0.913,0,1,0,0,0.872,21.25,2.891,6.572,3.418,0.427,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,359
"134","New Zealand",0.00296,134,0.002367,139,0.003221,132,0,0,0,0,0,0,1,0,1,4,0,0.981,0,1,0,1,0.669,22.32,-1.408,5.757,2.084,0.485,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,6.87,1,920
"135","Oman",0.002951,135,0.002601,134,0.003242,130,0,0,0,1,1,0,0,0,1,3,0,0.4,0,1,0,1,-0.774,22.15,-0.185,6.553,2.925,0.597,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,2023,7.7,1,698
"136","Suriname",0.002788,136,0.003012,122,0.001361,168,0,0,0,0,0,0,1,0,1,4,0,0.924,0,0,0,0,0.475,19.25,1.224,-0.11,3.756,0.73,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.615,1,115
"137","Switzerland",0.002764,137,0.002251,142,0.003023,133,0,0,0,0,0,0,1,0,1,4,0,0.971,0,1,0,0,1.211,23.08,-0.1271,7.111,1.782,0.367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,2023,7.7,1,225
"138","Qatar",0.002717,138,0.0023,140,0.003022,134,0,0,0,1,1,0,0,1,1,1,0,0.109,0,1,0,1,-2.306,21.37,3.943,6.647,2.044,0.708,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,2023,5.728,1,694
"139","Netherlands",0.002696,139,0.002402,138,0.00296,135,0,0,0,0,0,0,1,0,1,4,0,0.901,0,1,0,0,1.908,24.09,-0.8835,7.311,1.841,0.354,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.7,1,210
"140","Bolivia",0.002681,140,0.002602,133,0.002958,136,0,0,0,1,0,0,1,0,1,4,0,0.804,0,1,0,1,1.666,23.56,1.084,5.879,5.641,0.572,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.637,1,145
"141","Tunisia",0.002611,141,0.002477,136,0.002869,137,0,0,0,0,0,0,1,0,0,3,0,0.623,0,1,0,0,2.517,23.57,-0.3994,6.77,2.996,0.034,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4093000,2023,6.087,1,616
"142","Belgium",0.002596,142,0.002289,141,0.002848,138,0,0,0,0,0,0,1,0,1,4,0,0.959,0,1,0,0,1.819,23.5,0.1923,7.445,1.825,0.592,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.6,1,211
"143","Macedonia",0.002557,143,0.002059,149,0.002709,141,0,0,0,0,0,0,1,0,1,4,0,0.772,0,1,0,1,-0.467,20.79,2.128,7.314,2.172,0.562,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,343
"144","Portugal",0.002501,144,0.002248,143,0.002759,139,0,0,0,0,0,0,1,0,1,4,0,0.924,0,1,0,0,0.765,23.33,1.138,6.555,1.607,0.22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.7,1,235
"145","Austria",0.002437,145,0.002224,144,0.002702,142,0,0,0,0,0,0,1,0,2,3,0,0.957,0,1,0,0,0.865,23.12,-1.812,6.859,1.659,0.248,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,6.728,1,305
"146","Kosovo",0.002395,146,0.002034,151,0.00269,143,0,0,0,0,0,0,1,0,1,4,0,0.865,0,1,0,0,-0.45,20.74,4.027,6.784,2.842,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,2023,4,1,347
"147","Sweden",0.002353,147,0.002175,146,0.002616,146,0,0,0,0,0,0,1,0,1,4,0,0.9,0,1,0,0,1.475,23.33,-0.6668,6.694,1.364,0.219,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.7,1,380
"148","Bulgaria",0.002347,148,0.002175,147,0.002641,145,0,0,0,0,0,0,1,0,1,4,0,0.775,0,1,0,0,1.343,22.62,2.396,6.89,2.173,0.289,0.002,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.19,1,355
"149","Albania",0.002277,149,0.002122,148,0.002539,148,0,0,0,1,0,0,1,0,2,4,0,0.86,0,1,0,0,-0.367,21.39,4.634,6.402,2.853,0.139,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,6.794,1,339
"150","Solomon Islands",0.002167,150,0.001981,155,0.002383,150,0,0,0,0,0,0,1,0,1,4,0,0.853,0,1,0,0,-0.077,19.5,0.7044,6.286,3.81,0.097,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,5.524,1,940
"151","Denmark",0.002143,151,0.002046,150,0.002385,149,0,0,0,0,0,0,1,0,1,4,0,0.981,0,1,0,0,1.574,22.5,1.137,7.005,1.7,0.177,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.7,1,390
"152","Armenia",0.002102,152,0.002031,153,0.002364,151,0,0,0,1,0,0,1,0,1,3,0,0.875,0,1,0,0,0.961,21.41,8.798,6.871,2.943,0.045,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,371
"153","Ireland",0.002092,153,0.002032,152,0.002311,152,0,0,0,0,0,0,1,0,1,4,0,0.977,0,1,0,0,1.416,22.33,-5.686,7.875,1.692,0.174,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,6.687,1,205
"154","Cuba",0.002054,154,0.002481,135,0.00228,153,0,0,0,1,1,0,0,0,1,2,0,0.071,0,1,1,0,2.165,23.42,2.176,6.473,2.089,0.517,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4093000,2023,6.931,1,40
"155","Finland",0.001993,155,0.001981,154,0.002206,154,0,0,0,0,0,0,1,0,1,4,0,0.978,0,1,0,0,2.192,22.41,-1.534,6.364,1.389,0.138,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,6.741,1,375
"156","Norway",0.001948,156,0.001954,156,0.002132,156,0,0,0,0,0,0,1,0,1,4,0,0.859,0,1,0,0,2.599,22.4,-0.6234,6.316,1.371,0.151,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,6.895,1,385
"157","Lithuania",0.001939,157,0.001892,158,0.002159,155,0,0,0,0,0,0,1,0,1,4,0,0.824,0,1,0,0,1.112,21.45,-1.733,7.259,1.682,0.284,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,368
"158","Latvia",0.001843,158,0.001801,160,0.002091,157,0,0,0,0,0,0,1,0,2,4,0,0.975,0,1,0,0,1.437,20.84,-0.408,7.044,1.703,0.547,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,367
"159","Cape Verde",0.001744,159,0.001756,161,0.00193,158,0,0,0,0,0,0,1,0,1,4,0,0.929,0,1,0,0,0.81,19.19,4.177,6.553,3.136,0.442,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.615,1,402
"160","Slovenia",0.001714,160,0.001724,162,0.001917,159,0,0,0,0,0,0,1,0,1,4,0,0.86,0,1,0,0,1.691,21.02,1.158,7.334,1.345,0.258,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,349
"161","Trinidad and Tobago",0.0017,161,0.001878,159,0.001578,166,0,0,0,0,0,0,1,0,1,4,0,0.88,0,1,0,1,0.893,20.55,1.844,-0.6188,3.676,0.655,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.954,1,52
"162","Estonia",0.00163,162,0.001657,164,0.001831,160,0,0,0,0,0,0,1,0,1,4,0,0.898,0,1,0,0,1.408,20.38,-4.237,7.287,1.183,0.458,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,366
"163","Luxembourg",0.001515,163,0.001587,165,0.001632,164,0,0,0,0,0,0,1,0,1,4,0,0.953,0,1,0,0,1.782,19.35,-3.389,8.623,2.108,0.53,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,7.295,1,212
"164","Jamaica",0.001468,164,0.001941,157,0.001721,161,0,0,0,0,0,0,1,0,1,4,0,0.924,0,1,0,0,1.818,21.43,2.266,-2.928,3.988,0.21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.954,1,51
"165","Costa Rica",0.001462,165,0.00166,163,0.001637,163,0,0,0,0,0,0,1,0,1,4,0,0.955,0,1,0,0,0.56,22.31,4.48,6.135,2.548,0.398,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.524,1,94
"166","Montenegro",0.00144,166,0.001475,168,0.001697,162,0,0,0,0,0,0,1,0,1,3,0,0.891,0,1,0,0,2.088,19.23,6.16,6.907,1.311,0.7,0.01,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,4.17,1,341
"167","Malta",0.001431,167,0.001562,166,0.001591,165,0,0,0,0,0,0,1,0,1,4,0,0.889,0,1,0,0,1.397,19.08,1.395,8.295,2.497,0.04,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.907,1,338
"168","Uruguay",0.00124,168,0.001537,167,0.001376,167,0,0,0,0,0,0,1,0,1,4,0,0.941,0,1,0,0,1.239,21.71,0.3583,5.693,2.366,0.176,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.6,1,165
