"","ewp_name","risk_1or2.from2023","risk_rank.from2023","risk_1or2.offsetdecay","risk_rank.offsetdecay"
"1","Chad",0.1218,1,0.1218,1
"2","Sudan",0.1148,2,0.1148,2
"3","Burma/Myanmar",0.1048,3,0.1048,3
"4","Pakistan",0.1007,4,0.1007,4
"5","India",0.0793,5,0.0793,5
"6","Burkina Faso",0.0672,6,0.0672,6
"7","Afghanistan",0.0655,7,0.0655,7
"8","Ethiopia",0.0649,8,0.0649,8
"9","Nigeria",0.0595,9,0.0595,9
"10","Yemen",0.0589,10,0.0589,10
"11","Guinea",0.0588,11,0.0588,11
"12","Indonesia",0.0529,12,0.0529,12
"13","Bangladesh",0.0501,13,0.0501,13
"14","Democratic Republic of Congo",0.0433,14,0.0433,14
"15","Iran",0.041,15,0.041,15
"16","Niger",0.0393,16,0.0393,16
"17","South Sudan",0.0392,17,0.0392,17
"18","Iraq",0.0379,18,0.0379,18
"19","Philippines",0.0348,19,0.0348,19
"20","Russia",0.0347,20,0.0347,20
"21","Mali",0.0327,21,0.0327,21
"22","Rwanda",0.0326,22,0.0326,22
"23","Turkey",0.0318,23,0.0318,23
"24","Mozambique",0.0305,24,0.0305,24
"25","Tajikistan",0.0293,25,0.0293,25
"26","Egypt",0.0289,26,0.0289,26
"27","Somalia",0.0282,27,0.0282,27
"28","China",0.0277,28,0.0277,28
"29","Laos",0.0271,29,0.0271,29
"30","Angola",0.0265,30,0.0265,30
"31","Central African Republic",0.0262,31,0.0262,31
"32","Uganda",0.0258,32,0.0258,32
"33","Republic of Congo",0.0258,33,0.0258,33
"34","Thailand",0.0254,34,0.0254,34
"35","Ivory Coast",0.0253,35,0.0253,35
"36","Cambodia",0.0252,36,0.0252,36
"37","Jordan",0.0245,37,0.0245,37
"38","Burundi",0.0234,38,0.0234,38
"39","South Africa",0.0233,39,0.0233,39
"40","Syria",0.0231,40,0.0231,40
"41","Eritrea",0.0228,41,0.0228,41
"42","Malawi",0.0228,42,0.0228,42
"43","Tanzania",0.0221,43,0.0221,43
