"","ewp_name","risk_1or2.from2023","risk_rank.from2023","risk_1or2.offsetdecay","risk_rank.offsetdecay"
"44","Cameroon",0.021,44,0.021,44
"45","Nepal",0.0209,45,0.0209,45
"46","Algeria",0.0189,46,0.0189,46
"47","Liberia",0.0187,47,0.0187,47
"48","Kenya",0.0185,48,0.0185,48
"49","Guinea-Bissau",0.0184,49,0.0184,49
"50","Sierra Leone",0.0178,50,0.0178,50
"51","Democratic Republic of Vietnam",0.0174,51,0.0174,51
"52","Gabon",0.0172,52,0.0172,52
"53","Zimbabwe",0.017,53,0.017,53
"54","Papua New Guinea",0.0164,54,0.0164,54
"55","Mauritania",0.0148,55,0.0148,55
"56","Libya",0.0145,56,0.0145,56
"57","Madagascar",0.0143,57,0.0143,57
"58","Colombia",0.0136,58,0.0136,58
"59","Equatorial Guinea",0.0132,59,0.0132,59
"60","Bahrain",0.0123,60,0.0123,60
"61","Morocco",0.0121,61,0.0121,61
"62","Kyrgystan",0.0121,62,0.0121,62
"63","Senegal",0.0119,63,0.0119,63
"64","North Korea",0.0117,64,0.0117,64
"65","Togo",0.0114,65,0.0114,65
"66","Ukraine",0.011,66,0.011,66
"67","Uzbekistan",0.0107,67,0.0107,67
"68","Georgia",0.0106,68,0.0106,68
"69","Peru",0.0105,69,0.0105,69
"70","Nicaragua",0.0105,70,0.0105,70
"71","Zambia",0.0104,71,0.0104,71
"72","Bosnia and Herzegovina",0.0101,72,0.0101,72
"73","Lebanon",0.0099,73,0.0099,73
"74","Djibouti",0.0099,74,0.0099,74
"75","Venezuela",0.009,75,0.009,75
"76","Azerbaijan",0.0089,76,0.0089,76
"77","Sri Lanka",0.0087,77,0.0087,77
"78","Brazil",0.0086,78,0.0086,78
"79","United States of America",0.0082,79,0.0082,79
"80","Namibia",0.008,80,0.008,80
"81","Mexico",0.008,81,0.008,81
"82","Bhutan",0.0079,82,0.0079,82
"83","United Arab Emirates",0.0078,83,0.0078,83
"84","Argentina",0.0078,84,0.0078,84
"85","Botswana",0.0073,85,0.0073,85
"86","El Salvador",0.007,86,0.007,86
"87","Kazakhstan",0.007,87,0.007,87
"88","Fiji",0.0069,88,0.0069,88
"89","Israel",0.0068,89,0.0068,89
"90","Eswatini",0.0062,90,0.0062,90
"91","Guatemala",0.0061,91,0.0061,91
"92","Comoros",0.0058,92,0.0058,92
"93","Mauritius",0.0058,93,0.0058,93
"94","Haiti",0.0057,94,0.0057,94
"95","Benin",0.0056,95,0.0056,95
"96","South Korea",0.0054,96,0.0054,96
"97","Ecuador",0.0054,97,0.0054,97
"98","Timor-Leste",0.0052,98,0.0052,98
"99","Honduras",0.005,99,0.005,99
"100","Hungary",0.005,100,0.005,100
"101","Malaysia",0.0049,101,0.0049,101
"102","Ghana",0.0049,102,0.0049,102
"103","Romania",0.0048,103,0.0048,103
"104","Saudi Arabia",0.0047,104,0.0047,104
"105","Serbia",0.0047,105,0.0047,105
"106","Paraguay",0.0047,106,0.0047,106
"107","Poland",0.0047,107,0.0047,107
"108","Panama",0.0046,108,0.0046,108
"109","Canada",0.0046,109,0.0046,109
"110","Turkmenistan",0.0046,110,0.0046,110
"111","Maldives",0.0045,111,0.0045,111
"112","United Kingdom",0.0043,112,0.0043,112
"113","Japan",0.0042,113,0.0042,113
"114","Croatia",0.0041,114,0.0041,114
"115","Czech Republic",0.0039,115,0.0039,115
"116","Chile",0.0038,116,0.0038,116
"117","Cyprus",0.0037,117,0.0037,117
"118","The Gambia",0.0037,118,0.0037,118
"119","Guyana",0.0037,119,0.0037,119
"120","Slovakia",0.0036,120,0.0036,120
"121","Dominican Republic",0.0036,121,0.0036,121
"122","Germany",0.0036,122,0.0036,122
"123","France",0.0035,123,0.0035,123
"124","Spain",0.0035,124,0.0035,124
"125","Kuwait",0.0032,125,0.0032,125
"126","Italy",0.0032,126,0.0032,126
"127","Lesotho",0.0032,127,0.0032,127
"128","Belarus",0.0031,128,0.0031,128
"129","Greece",0.0031,129,0.0031,129
"130","Mongolia",0.0031,130,0.0031,130
"131","Australia",0.0031,131,0.0031,131
"132","Singapore",0.003,132,0.003,132
"133","Moldova",0.003,133,0.003,133
"134","New Zealand",0.0029,134,0.0029,134
"135","Oman",0.0029,135,0.0029,135
"136","Suriname",0.0027,136,0.0027,136
"137","Switzerland",0.0027,137,0.0027,137
"138","Qatar",0.0027,138,0.0027,138
"139","Bolivia",0.0027,139,0.0027,139
"140","Netherlands",0.0027,140,0.0027,140
"141","Tunisia",0.0026,141,0.0026,141
"142","Belgium",0.0026,142,0.0026,142
"143","Macedonia",0.0025,143,0.0025,143
"144","Portugal",0.0025,144,0.0025,144
"145","Austria",0.0024,145,0.0024,145
"146","Kosovo",0.0024,146,0.0024,146
"147","Sweden",0.0023,147,0.0023,147
"148","Bulgaria",0.0023,148,0.0023,148
"149","Albania",0.0023,149,0.0023,149
"150","Solomon Islands",0.0021,150,0.0021,150
"151","Denmark",0.0021,151,0.0021,151
"152","Armenia",0.0021,152,0.0021,152
"153","Cuba",0.0021,153,0.0021,153
"154","Ireland",0.0021,154,0.0021,154
"155","Finland",0.002,155,0.002,155
"156","Norway",0.0019,156,0.0019,156
"157","Lithuania",0.0019,157,0.0019,157
"158","Latvia",0.0018,158,0.0018,158
"159","Cape Verde",0.0017,159,0.0017,159
"160","Slovenia",0.0017,160,0.0017,160
"161","Trinidad and Tobago",0.0017,161,0.0017,161
"162","Estonia",0.0016,162,0.0016,162
"163","Luxembourg",0.0015,163,0.0015,163
"164","Jamaica",0.0015,164,0.0015,164
"165","Costa Rica",0.0014,165,0.0014,165
"166","Montenegro",0.0014,166,0.0014,166
"167","Malta",0.0014,167,0.0014,167
"168","Uruguay",0.0012,168,0.0012,168
