"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"89","Israel",0.006834,89,0.007195,70,0.005637,96,0,0,0,0,0,0,1,0,1,4,0,0.898,0,1,0,0,0.747,23.22,-0.08541,5.858,1.668,0.376,0.43,0,0,0,1,0,0,14.48,0,0,0,0,0,0,4093000,6.248,1,666,2023
"90","Eswatini",0.006155,90,0.005535,86,0.006813,87,0,0,1,1,1,0,0,1,1,3,0,0.07,0,0,1,1,0.314,20.21,4.05,6.514,6.13,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.672,1,572,2023
"91","Guatemala",0.006084,91,0.005039,90,0.006752,88,0,0,0,1,0,0,1,1,1,4,0,0.784,0,0,0,1,0.196,24.07,2.047,5.648,4.2,0.511,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,7.524,1,90,2023
"92","Comoros",0.005794,92,0.004973,91,0.006356,90,0,0,0,1,0,0,1,0,1,3,0,0.273,0,0,0,0,1.027,19.7,0.8569,5.583,6.097,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.615,1,581,2023
"93","Mauritius",0.005789,93,0.004325,98,0.006244,91,0,0,0,1,0,0,1,0,1,4,0,0.763,0,0,0,1,0.473,20.27,7.078,6.761,3.591,0.466,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.807,1,590,2023
"94","Haiti",0.005652,94,0.004658,94,0.00617,93,0,0,0,1,0,0,1,1,1,4,0,0.645,0,1,0,1,-0.859,23.48,-3.034,4.944,6.586,0.105,0,1,0,0,0,0,0,0,0,0,0.03125,0,0,1,4093000,6.492,1,41,2023
"95","Benin",0.005637,95,0.005406,89,0.006229,92,0,0,0,0,0,0,1,0,1,4,0,0.78,0,1,0,0,0.889,23.71,3.561,5.682,7.233,0.764,0,0,0,0,0,0,1,4.858,0,0,0,0,0,0,4093000,6,1,434,2023
"96","South Korea",0.005408,96,0.0041,102,0.005648,95,0,0,0,1,0,0,1,0,1,4,0,0.887,0,1,0,0,0.482,25.62,1.278,6.458,1.44,0.095,0,0,1,0,0,0,1,0,0,0,0.01562,0,0,1,4093000,6.248,1,732,2023
"97","Ecuador",0.005353,97,0.004537,96,0.005897,94,0,0,0,0,0,0,1,0,1,4,0,0.851,0,0,0,1,0.867,24.12,1.289,5.854,3.106,0.528,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,7.6,1,130,2023
"98","Timor-Leste",0.005225,98,0.004201,101,0.005608,97,0,0,0,0,0,0,1,0,2,4,0,0.858,0,1,0,0,0.505,20.38,-15.57,6.609,6.129,0.802,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4093000,4.459,1,860,2023
"99","Honduras",0.005039,99,0.004411,97,0.005556,98,0,0,0,0,0,0,1,0,1,4,0,0.902,0,0,0,1,-0.118,23.34,2.009,6.614,3.599,0.229,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,7.524,1,91,2023
"100","Hungary",0.004952,100,0.00361,111,0.005342,100,0,0,0,1,0,0,1,0,1,4,0,0.828,0,1,0,1,0.362,23.19,-0.3582,7.297,1.786,0.232,0,0,0,0,0,1,1,0,0,0,0.01562,0,0,1,4093000,6.728,1,310,2023
"101","Malaysia",0.004893,101,0.003279,117,0.01169,66,0,0,0,1,0,0,1,0,1,2,0,0.718,0,1,0,1,0.835,25.03,2.561,7.043,2.528,0.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,6.066,1,820,2023
"102","Ghana",0.004888,102,0.004061,103,0.005374,99,0,0,0,0,0,0,1,0,2,4,0,0.92,0,1,0,0,0.754,25.02,0.9955,6.109,5.54,0.736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,6.066,1,452,2023
"103","Romania",0.004841,103,0.003882,106,0.005256,103,0,0,0,0,0,0,1,0,1,4,0,0.968,0,1,0,0,0.373,24.18,2.1,6.376,2.202,0.207,0,0,0,0,0,1,1,0,0,0,0.03125,0,0,1,4093000,7.19,1,360,2023
"104","Saudi Arabia",0.004725,104,0.00386,107,0.005261,101,0,0,1,1,1,0,0,1,1,1,0,0.149,1,1,0,1,-1.573,25.14,-2.201,5.957,2.249,0.224,0.17,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,6.524,1,670,2023
"105","Serbia",0.00469,105,0.003503,112,0.005049,107,0,0,0,1,0,0,1,0,1,4,0,0.783,0,1,0,1,0.946,22.66,3.247,6.957,2.041,0.396,0.004,0,0,0,0,1,1,0,0,0,0.0625,0,0,1,4093000,6.728,1,345,2023
"106","Paraguay",0.004688,106,0.004226,100,0.005259,102,0,0,0,0,0,0,1,1,1,4,0,0.803,0,0,0,1,-0.184,22.71,3.481,6.375,3.739,0.179,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,7.7,1,150,2023
"107","Poland",0.004655,107,0.003907,105,0.005033,108,0,0,0,1,0,0,1,0,0,4,0,0.78,0,1,0,0,2.354,25.13,0.5316,6.775,1.786,0.069,0,0,0,0,0,1,1,0,0,0,0.01562,0,0,1,4093000,6.728,1,290,2023
"108","Panama",0.004638,108,0.003981,104,0.005124,105,0,0,0,0,0,0,1,0,1,4,0,0.917,0,0,0,1,-0.642,22.09,5.888,6.584,3.544,0.612,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,6.919,1,95,2023
"109","Canada",0.004635,109,0.004308,99,0.005054,106,0,0,0,0,0,0,1,0,1,4,0,0.92,0,0,0,0,1.539,25.26,-1.855,6.076,2.065,0.73,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,7.295,1,20,2023
"110","Turkmenistan",0.004596,110,0.004595,95,0.005173,104,0,0,0,1,1,0,0,1,1,0,0,0.119,0,1,0,1,-1.933,22.64,0.3656,5.136,5.637,0.255,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,5.044,1,701,2023
"111","Maldives",0.004479,111,0.003729,108,0.004929,109,0,0,0,0,0,0,1,1,1,0,0,0.804,0,0,0,1,-0.482,18.99,4.525,0.3101,2.076,0.059,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4093000,5.883,1,781,2023
"112","United Kingdom",0.004261,112,0.003261,118,0.004673,110,0,0,0,0,0,0,1,0,1,4,0,0.971,0,1,0,0,0.714,26.03,-0.7147,6.035,1.924,0.399,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,7.7,1,200,2023
"113","Japan",0.00417,113,0.003252,119,0.004528,111,0,0,0,0,0,0,1,0,1,4,0,0.881,0,1,0,0,1.373,26.89,2.421,5.55,1.284,0.019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,740,2023
"114","Croatia",0.004126,114,0.003217,121,0.004502,112,0,0,0,0,0,0,1,0,1,4,0,0.892,0,1,0,1,0.646,21.88,3.126,6.78,1.872,0.171,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4093000,5.044,1,344,2023
"115","Czech Republic",0.003895,115,0.003339,116,0.004213,114,0,0,0,0,0,0,1,0,1,4,0,0.969,0,1,0,0,1.375,23.37,-2.159,7.118,1.492,0.262,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4093000,4.954,1,316,2023
"116","Chile",0.003775,116,0.003362,114,0.004092,116,0,0,0,0,0,0,1,0,1,4,0,0.973,0,1,0,1,1.002,24.23,0.08677,5.93,2.034,0.439,0.099,1,0,0,0,0,1,0,0,0,0.01562,0,0,1,4093000,7.687,1,155,2023
"117","Cyprus",0.00373,117,0.003405,113,0.004029,118,0,0,0,0,0,0,1,0,2,4,0,0.912,0,0,0,0,1.296,20.27,3.637,7.489,1.766,0.347,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,6,1,352,2023
"118","The Gambia",0.003699,118,0.003128,125,0.004057,117,0,0,0,0,0,0,1,0,1,4,0,0.851,0,1,0,1,0.646,21.4,2.745,5.343,5.43,0.762,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.883,1,420,2023
"119","Guyana",0.003689,119,0.003666,110,0.004147,115,0,0,0,0,0,0,1,0,1,4,0,0.833,0,0,0,1,1.424,19.63,32.18,-2.833,4.619,0.695,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.858,1,110,2023
"120","Slovakia",0.003616,120,0.003197,122,0.003944,120,0,0,0,0,0,0,1,0,1,4,0,0.961,0,1,0,0,1.23,22.37,1.69,7.504,2.125,0.241,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4093000,4.954,1,317,2023
"121","Dominican Republic",0.003592,121,0.003713,109,0.003976,119,0,0,0,0,0,0,1,0,1,4,0,0.956,0,1,0,0,0.349,23.43,1.42,5.633,5.062,0.453,0.023,1,0,0,0,0,1,0,0,0,0.01562,0,0,1,4093000,7.492,1,42,2023
"122","Germany",0.003555,122,0.003153,123,0.003932,121,0,0,0,0,0,0,1,0,1,4,0,0.976,0,1,0,0,1.572,26.33,-1.112,6.494,1.723,0.189,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.304,1,255,2023
"123","France",0.00352,123,0.003144,124,0.003921,122,0,0,0,0,0,0,1,0,1,4,0,0.947,0,1,0,0,1.155,26.02,0.4099,6.078,1.872,0.1,0.006,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.7,1,220,2023
"124","Spain",0.00347,124,0.002948,128,0.003854,123,0,0,0,0,0,0,1,0,1,4,0,0.934,0,1,0,0,1.161,25.53,1.242,6.205,1.545,0.669,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.7,1,230,2023
"125","Kuwait",0.003217,125,0.003102,126,0.003463,127,0,0,0,0,1,0,0,0,1,3,0,0.577,0,1,0,1,-0.583,22.04,-3.165,-2.489,2.692,0.765,0.03,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.883,1,690,2023
"126","Italy",0.003203,126,0.002941,130,0.003577,124,0,0,0,0,0,0,1,0,1,4,0,0.937,0,1,0,0,1.701,25.81,1.229,6.103,1.498,0.11,0.001,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.7,1,325,2023
"127","Lesotho",0.003197,127,0.003344,115,0.003557,125,0,0,0,0,0,0,1,0,1,4,0,0.851,0,1,0,0,1.063,21.15,-0.1623,7.187,7.518,0.313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.858,1,570,2023
"128","Belarus",0.003127,128,0.002926,131,0.0027,140,0,0,0,1,0,1,0,0,1,2,0,0.029,0,1,1,0,0.901,23.13,4.45,7.055,1.38,0.309,0.031,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,5.044,1,370,2023
"129","Greece",0.003108,129,0.003035,127,0.002667,144,0,0,0,0,0,1,0,0,1,3,0,0.869,0,1,0,0,2.284,23.3,2.658,6.565,1.823,0.167,0.03,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.615,1,350,2023
"130","Mongolia",0.003087,130,0.002591,137,0.003374,129,0,0,0,0,0,0,1,0,2,4,0,0.777,0,1,0,1,-0.593,21.72,5.508,7.202,3.248,0.315,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4093000,6.687,1,712,2023
"131","Australia",0.003084,131,0.002805,133,0.003418,128,0,0,0,0,0,0,1,0,1,4,0,0.943,0,1,0,0,0.819,24.67,0.6033,5.587,1.786,0.276,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4093000,6.943,1,900,2023
"132","Singapore",0.002997,132,0.002334,147,0.00321,131,0,0,0,1,0,0,1,0,1,3,0,0.745,0,1,0,1,0.906,22.5,-3.718,8.282,1.314,0.395,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,5.883,1,830,2023
"133","Moldova",0.002988,133,0.002944,129,0.002554,147,0,0,0,0,0,1,0,0,1,4,0,0.913,0,1,0,0,0.872,21.25,2.891,6.572,3.418,0.427,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,5.044,1,359,2023
"134","New Zealand",0.002928,134,0.002507,139,0.003206,132,0,0,0,0,0,0,1,0,1,4,0,0.981,0,1,0,1,0.669,22.32,-1.408,5.757,2.084,0.485,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4093000,6.87,1,920,2023
"135","Oman",0.002921,135,0.002745,134,0.00323,130,0,0,0,1,1,0,0,0,1,3,0,0.4,0,1,0,1,-0.774,22.15,-0.185,6.553,2.925,0.597,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,7.7,1,698,2023
"136","Suriname",0.002744,136,0.003248,120,0.001352,168,0,0,0,0,0,0,1,0,1,4,0,0.924,0,0,0,0,0.475,19.25,1.224,-0.11,3.756,0.73,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.615,1,115,2023
"137","Switzerland",0.00273,137,0.002422,141,0.003007,133,0,0,0,0,0,0,1,0,1,4,0,0.971,0,1,0,0,1.211,23.08,-0.1271,7.111,1.782,0.367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,7.7,1,225,2023
"138","Qatar",0.002678,138,0.002418,142,0.003003,134,0,0,0,1,1,0,0,1,1,1,0,0.109,0,1,0,1,-2.306,21.37,3.943,6.647,2.044,0.708,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.728,1,694,2023
"139","Bolivia",0.002672,139,0.002872,132,0.00296,135,0,0,0,1,0,0,1,0,1,4,0,0.804,0,1,0,1,1.666,23.56,1.084,5.879,5.641,0.572,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,7.637,1,145,2023
"140","Netherlands",0.00267,140,0.002583,138,0.002947,136,0,0,0,0,0,0,1,0,1,4,0,0.901,0,1,0,0,1.908,24.09,-0.8835,7.311,1.841,0.354,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.7,1,210,2023
"141","Tunisia",0.002594,141,0.002698,136,0.002864,137,0,0,0,0,0,0,1,0,0,3,0,0.623,0,1,0,0,2.517,23.57,-0.3994,6.77,2.996,0.034,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4093000,6.087,1,616,2023
"142","Belgium",0.002564,142,0.002457,140,0.002832,138,0,0,0,0,0,0,1,0,1,4,0,0.959,0,1,0,0,1.819,23.5,0.1923,7.445,1.825,0.592,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.6,1,211,2023
"143","Macedonia",0.002522,143,0.002193,153,0.002688,142,0,0,0,0,0,0,1,0,1,4,0,0.772,0,1,0,1,-0.467,20.79,2.128,7.314,2.172,0.562,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,5.044,1,343,2023
"144","Portugal",0.002474,144,0.002417,143,0.002745,139,0,0,0,0,0,0,1,0,1,4,0,0.924,0,1,0,0,0.765,23.33,1.138,6.555,1.607,0.22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.7,1,235,2023
"145","Austria",0.002411,145,0.002388,144,0.002688,141,0,0,0,0,0,0,1,0,2,3,0,0.957,0,1,0,0,0.865,23.12,-1.812,6.859,1.659,0.248,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,6.728,1,305,2023
"146","Kosovo",0.002362,146,0.00221,151,0.002673,143,0,0,0,0,0,0,1,0,1,4,0,0.865,0,1,0,0,-0.45,20.74,4.027,6.784,2.842,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,4,1,347,2023
"147","Sweden",0.002328,147,0.002342,146,0.002603,146,0,0,0,0,0,0,1,0,1,4,0,0.9,0,1,0,0,1.475,23.33,-0.6668,6.694,1.364,0.219,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.7,1,380,2023
"148","Bulgaria",0.002322,148,0.002355,145,0.002628,145,0,0,0,0,0,0,1,0,1,4,0,0.775,0,1,0,0,1.343,22.62,2.396,6.89,2.173,0.289,0.002,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.19,1,355,2023
"149","Albania",0.002251,149,0.002303,148,0.002525,148,0,0,0,1,0,0,1,0,2,4,0,0.86,0,1,0,0,-0.367,21.39,4.634,6.402,2.853,0.139,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,6.794,1,339,2023
"150","Solomon Islands",0.002138,150,0.002167,154,0.00237,150,0,0,0,0,0,0,1,0,1,4,0,0.853,0,1,0,0,-0.077,19.5,0.7044,6.286,3.81,0.097,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,5.524,1,940,2023
"151","Denmark",0.00212,151,0.002219,150,0.002373,149,0,0,0,0,0,0,1,0,1,4,0,0.981,0,1,0,0,1.574,22.5,1.137,7.005,1.7,0.177,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.7,1,390,2023
"152","Armenia",0.002081,152,0.002232,149,0.002354,151,0,0,0,1,0,0,1,0,1,3,0,0.875,0,1,0,0,0.961,21.41,8.798,6.871,2.943,0.045,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,5.044,1,371,2023
"153","Cuba",0.00207,153,0.002731,135,0.002295,153,0,0,0,1,1,0,0,0,1,2,0,0.071,0,1,1,0,2.165,23.42,2.176,6.473,2.089,0.517,0,1,0,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,6.931,1,40,2023
"154","Ireland",0.002068,154,0.002196,152,0.002299,152,0,0,0,0,0,0,1,0,1,4,0,0.977,0,1,0,0,1.416,22.33,-5.686,7.875,1.692,0.174,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,6.687,1,205,2023
"155","Finland",0.001972,155,0.002148,156,0.002196,154,0,0,0,0,0,0,1,0,1,4,0,0.978,0,1,0,0,2.192,22.41,-1.534,6.364,1.389,0.138,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,6.741,1,375,2023
"156","Norway",0.001928,156,0.002124,157,0.002122,156,0,0,0,0,0,0,1,0,1,4,0,0.859,0,1,0,0,2.599,22.4,-0.6234,6.316,1.371,0.151,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,6.895,1,385,2023
"157","Lithuania",0.001913,157,0.002048,159,0.002145,155,0,0,0,0,0,0,1,0,1,4,0,0.824,0,1,0,0,1.112,21.45,-1.733,7.259,1.682,0.284,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,5.044,1,368,2023
"158","Latvia",0.001815,158,0.001948,160,0.002074,157,0,0,0,0,0,0,1,0,2,4,0,0.975,0,1,0,0,1.437,20.84,-0.408,7.044,1.703,0.547,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,5.044,1,367,2023
"159","Cape Verde",0.001716,159,0.001922,161,0.001915,158,0,0,0,0,0,0,1,0,1,4,0,0.929,0,1,0,0,0.81,19.19,4.177,6.553,3.136,0.442,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.615,1,402,2023
"160","Slovenia",0.00169,160,0.001879,162,0.001905,159,0,0,0,0,0,0,1,0,1,4,0,0.86,0,1,0,0,1.691,21.02,1.158,7.334,1.345,0.258,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,5.044,1,349,2023
"161","Trinidad and Tobago",0.001684,161,0.00205,158,0.00157,166,0,0,0,0,0,0,1,0,1,4,0,0.88,0,1,0,1,0.893,20.55,1.844,-0.6188,3.676,0.655,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.954,1,52,2023
"162","Estonia",0.001603,162,0.001791,164,0.001815,160,0,0,0,0,0,0,1,0,1,4,0,0.898,0,1,0,0,1.408,20.38,-4.237,7.287,1.183,0.458,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,5.044,1,366,2023
"163","Luxembourg",0.00149,163,0.001733,165,0.001618,164,0,0,0,0,0,0,1,0,1,4,0,0.953,0,1,0,0,1.782,19.35,-3.389,8.623,2.108,0.53,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,7.295,1,212,2023
"164","Jamaica",0.001459,164,0.002154,155,0.001718,161,0,0,0,0,0,0,1,0,1,4,0,0.924,0,1,0,0,1.818,21.43,2.266,-2.928,3.988,0.21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.954,1,51,2023
"165","Costa Rica",0.001445,165,0.001852,163,0.001629,163,0,0,0,0,0,0,1,0,1,4,0,0.955,0,1,0,0,0.56,22.31,4.48,6.135,2.548,0.398,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,7.524,1,94,2023
"166","Montenegro",0.001413,166,0.001613,168,0.001681,162,0,0,0,0,0,0,1,0,1,3,0,0.891,0,1,0,0,2.088,19.23,6.16,6.907,1.311,0.7,0.01,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,4.17,1,341,2023
"167","Malta",0.001412,167,0.001729,166,0.001581,165,0,0,0,0,0,0,1,0,1,4,0,0.889,0,1,0,0,1.397,19.08,1.395,8.295,2.497,0.04,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,5.907,1,338,2023
"168","Uruguay",0.001227,168,0.001722,167,0.001371,167,0,0,0,0,0,0,1,0,1,4,0,0.941,0,1,0,0,1.239,21.71,0.3583,5.693,2.366,0.176,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,7.6,1,165,2023
