"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"17","South Sudan",0.0392,17,0.01818,22,0.04179,18,1,0,1,1,0,1,0,1,1,3,0,0.171,1,0,0,1,-1.244,23.4,-5.2,-1.522,7.988,0.73,0.04,0,0,0,0,0,0,0,0,1.585,0.07692,0,0,1,4093000,3.7,1,626,2023
"18","Iraq",0.03793,18,0.02003,18,0.04139,19,1,0,0,1,0,1,0,0,1,3,0,0.525,0,0,0,1,-0.021,25.44,-5.087,5.943,4.361,0.446,0,0,0,0,1,0,0,7.672,0,1,0.09375,0,0,1,4093000,6.524,1,645,2023
"19","Philippines",0.03482,19,0.01839,21,0.04706,16,1,0,0,1,0,0,1,1,1,4,0,0.631,0,0,0,1,-0.777,26.81,3.946,6.075,4.551,0.807,0,0,1,0,0,0,1,7.877,0,1,0.0625,0,0,1,4093000,6.285,1,840,2023
"20","Russia",0.03474,20,0.01781,24,0.02992,31,0,0,0,1,0,1,0,0,0,2,0,0.295,0,0,0,1,-1.452,27.1,-2.162,5.386,1.882,0.376,0.0032,0,0,0,0,1,1,6.615,0,0,0.03125,0,0,1,4093000,7.7,1,365,2023
"21","Mali",0.03273,21,0.02569,13,0.03684,22,0,0,0,1,0,0,1,0,1,3,0,0.674,0,0,0,0,1.475,24.47,2.074,6.044,7.796,0.852,0,0,0,0,0,0,1,10.3,1,0,0,0,0,0,4093000,6,1,432,2023
"22","Rwanda",0.03259,22,0.01775,25,0.03079,29,0,0,0,1,0,1,0,1,1,3,0,0.156,0,0,0,1,-0.561,23.75,5.799,6.044,5.245,0.28,0,0,0,0,0,0,0,7.055,0,0,0.06452,0,0,1,4093000,5.954,1,517,2023
"23","Turkey",0.03179,23,0.01785,23,0.03398,25,0,0,1,1,0,0,1,0,0,2,0,0.186,0,0,0,1,-0.171,26.35,4.093,6.065,3.027,0.521,0.1866,0,0,0,0,1,1,8.455,0,0,0.01562,0,0,1,4093000,7.7,1,640,2023
"24","Mozambique",0.03046,24,0.01952,19,0.03067,30,0,0,0,1,0,0,1,0,1,4,0,0.584,0,0,0,0,1.128,25.01,2.126,-0.6126,7.053,0.69,0,0,0,0,0,0,0,7.468,0,0,0.02041,0,0,1,4093000,5.615,1,541,2023
"25","Tajikistan",0.02926,25,0.01448,29,0.0506,14,0,0,0,1,0,1,0,1,1,0,0,0.045,0,0,0,1,-1.972,23.27,6.263,6.032,4.95,0.367,0,0,0,1,0,0,1,0,0,0,0.0303,0,0,1,4093000,5.044,1,702,2023
"26","Egypt",0.02892,26,0.01399,31,0.03915,20,0,0,1,1,0,1,0,0,1,2,0,0.129,0,0,0,1,-0.306,26.75,2.17,5.338,3.815,0.041,0,0,0,0,1,0,1,0,0,0,0.01562,0,0,1,4093000,6.672,1,651,2023
