"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"37","Thailand",0.02375,37,0.01247,37,0.02509,37,0,0,0,1,0,0,1,1,1,4,0,0.469,0,0,0,1,-0.006,26.1,1.735,7.013,2.491,0.352,0.05,0,1,0,0,0,4.954,0,0,0.01562,0,0,1,4093000,7.7,1,800,2023
"38","Cambodia",0.02344,38,0.01149,45,0.02494,38,0,0,0,1,0,1,0,1,1,3,0,0.286,0,0,0,1,-1.049,24.01,4.299,6.827,4.38,0.158,0.008,0,1,0,0,0,0,0,0,0.03125,0,0,1,4093000,6.15,1,811,2023
"39","Jordan",0.02294,39,0.01238,39,0.01066,72,0,0,0,1,0,0,1,1,1,3,0,0.702,0,0,0,1,0.572,23.43,2.152,-0.1963,3.428,0.044,0.5,0,0,0,1,0,0,0,0,0.01562,0,0,1,4093000,6.248,1,663,2023
"40","Burundi",0.02162,40,0.01289,35,0.01455,54,0,0,0,1,0,1,0,1,1,4,1,0.189,0,1,0,1,0.759,23.66,-0.007285,4.887,5.95,0.308,0,0,0,0,0,0,6.539,0,0,0.03226,0,0,1,4093000,5.954,1,516,2023
"41","Nepal",0.02159,41,0.01214,41,0.02251,41,0,0,0,0,0,0,1,0,1,3,0,0.842,0,0,0,0,0.836,24.88,0.8009,5.38,4.68,0.86,0,0,0,1,0,0,0,0,0,0.03125,0,0,1,4093000,7.7,1,790,2023
"42","Cameroon",0.02156,42,0.01406,31,0.02371,40,0,0,0,1,0,0,1,1,1,4,0,0.696,0,0,0,1,-0.393,24.77,1.333,5.271,6.885,0.86,0,0,0,0,0,0,8.492,0,0,0,0,0,0,4093000,5.977,1,471,2023
"43","Syria",0.02123,43,0.01708,27,0.03563,23,1,0,0,1,1,0,0,1,0,1,0,0.073,1,0,0,1,-2.162,24.47,-6.012,6.613,4.091,0.213,0,0,0,0,1,0,10.56,0,1.585,0.04688,0,0,1,4093000,6.285,1,652,2023
"44","Eritrea",0.02121,44,0.01332,33,0.01343,60,0,0,1,1,1,0,0,1,1,1,1,0.103,0,0,1,1,0.472,21.84,5,-1.751,5.205,0.659,0.11,0,0,0,0,0,0,0,0,0,0,0,1,4093000,4.954,1,531,2023
"45","Tanzania",0.02013,45,0.01124,47,0.0205,43,0,0,0,0,0,0,1,0,1,3,0,0.878,0,0,0,0,0.891,26.01,1.527,5.239,5.378,0.591,0,0,0,0,0,0,0,0,0,0.01587,0,0,1,4093000,5.977,1,510,2023
"46","Algeria",0.01977,46,0.01015,51,0.02053,42,0,0,0,1,0,0,1,0,1,1,0,0.536,0,0,0,1,1.037,25.44,2.495,5.53,4.219,0.372,0,0,0,0,1,0,0,0,0,0.03226,0,0,1,4093000,5.954,1,615,2023
"47","Guinea-Bissau",0.01877,47,0.01131,46,0.01982,44,0,0,0,1,0,0,1,1,1,4,0,0.748,0,0,0,1,-0.249,21.04,2.054,5.529,6.995,0.808,0,0,0,0,0,0,0,1,0,0,0,0,0,4093000,5.644,1,404,2023
"48","Sierra Leone",0.01799,48,0.01104,48,0.01955,45,0,0,0,0,0,0,1,0,1,4,0,0.881,0,0,0,0,1.041,23.07,1.25,6.752,8.463,0.801,0,0,0,0,0,0,0,0,0,0.01587,0,0,1,4093000,5.977,1,451,2023
"49","Liberia",0.01681,49,0.01082,49,0.01781,46,0,0,0,0,0,0,1,0,1,4,0,0.943,0,0,0,0,0.623,22.37,2.475,-0.9375,7.479,0.889,0,0,0,0,0,0,0,0,0,0.03125,0,0,1,4093000,7.468,1,450,2023
"50","Kenya",0.01653,50,0.01219,40,0.01697,48,0,0,0,0,0,0,1,0,1,4,0,0.92,0,0,0,0,1.048,25.72,3.373,5.019,5.445,0.855,0.06,0,0,0,0,0,7.622,0,0,0,0,0,0,4093000,5.931,1,501,2023
"51","Democratic Republic of Vietnam",0.01602,51,0.01045,50,0.01702,47,0,0,0,1,1,0,0,1,1,1,0,0.328,0,0,1,1,1.158,26.56,4.332,7.522,3.882,0.263,0,0,1,0,0,0,0,0,0,0.03125,0,0,1,4093000,6.129,1,816,2023
"52","Zimbabwe",0.01583,52,0.007691,64,0.01624,50,0,0,0,1,0,0,1,1,1,4,1,0.262,0,1,0,1,-1.632,23.99,2.784,6.021,5.762,0.415,0.01,0,0,0,0,0,0,0,0,0.0339,0,0,1,4093000,5.883,1,552,2023
"53","Gabon",0.01549,53,0.009635,54,0.01627,49,0,0,0,1,0,0,1,1,1,4,0,0.945,0,0,0,1,0.6,21.22,0.2665,6.212,5.241,0.789,0,0,0,0,0,0,0,1,0,0,0,0,0,4093000,5.883,1,481,2023
"54","Papua New Guinea",0.01493,54,0.01,53,0.01554,52,0,0,0,0,0,0,1,0,1,4,0,0.86,0,0,0,0,0.759,23.3,0.8191,-2.082,5.67,0.27,0,0,1,0,0,0,0,0,0,0.02041,0,0,1,4093000,5.615,1,910,2023
"55","Madagascar",0.01471,55,0.008592,58,0.01579,51,0,0,0,0,0,0,1,0,1,4,0,0.695,0,0,0,1,-0.543,24.85,1.537,6.162,6.709,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6,1,580,2023
"56","Libya",0.01465,56,0.009194,55,0.01408,57,0,0,1,0,0,1,0,0,1,1,0,0.451,0,0,0,0,-0.027,22.72,-2.758,6.78,4.004,0.259,0,0,0,0,1,0,0,0,0,0.01562,0,0,1,4093000,6.19,1,620,2023
"57","Colombia",0.0137,57,0.01008,52,0.01484,53,0,0,0,0,0,0,1,0,1,4,0,0.754,0,0,0,1,0.609,25.63,0.2043,5.339,3.136,0.639,0,1,0,0,0,0,6.459,0,0,0.03125,0,0,1,4093000,7.6,1,100,2023
"58","Equatorial Guinea",0.01341,58,0.008759,56,0.01423,56,0,0,1,1,0,1,0,1,1,3,0,0.299,0,0,0,1,-0.998,20.71,-7.879,6.445,7.273,0.35,0.115,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.807,1,411,2023
"59","Mauritania",0.0134,59,0.007832,61,0.01426,55,0,0,0,0,0,1,0,1,1,1,0,0.78,1,0,0,1,-0.82,22.21,0.6868,6.59,5.548,0.713,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6,1,435,2023
"60","Morocco",0.01264,60,0.007015,68,0.01356,59,0,0,0,1,0,0,1,0,2,1,0,0.635,0,0,0,1,-0.398,25.17,0.2155,6.588,3.785,0.566,0.016,0,0,0,1,0,0,0,0,0,0,0,0,4093000,6.087,1,600,2023
"61","Kyrgystan",0.01246,61,0.007512,66,0.01342,61,0,0,0,1,0,0,1,0,1,3,0,0.679,0,0,0,1,-0.098,22.76,4.269,6.875,3.777,0.487,0.138,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.044,1,703,2023
"62","Senegal",0.01183,62,0.007927,60,0.004301,111,0,0,0,0,0,1,0,0,1,4,0,0.901,0,0,0,0,1.137,24.08,1.092,6.118,4.914,0.747,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6,1,433,2023
"63","Togo",0.01128,63,0.008607,57,0.01268,62,0,0,0,1,0,0,1,0,1,4,0,0.406,0,0,0,0,0.37,23.11,3.997,5.941,6.431,0.88,0,0,0,0,0,0,4.755,0,0,0,0,0,0,4093000,6,1,461,2023
"64","Ukraine",0.01124,64,0.007553,65,0.01362,58,0,0,0,1,0,1,0,0,1,3,0,0.689,0,0,0,0,-0.505,25.14,-17.13,6.287,2.428,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,369,2023
"65","Uzbekistan",0.01114,65,0.008193,59,0.01219,63,0,0,0,1,1,0,0,1,1,2,0,0.413,0,0,0,1,-0.317,25.12,3.764,6.169,3.337,0.313,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.044,1,704,2023
"66","Bahrain",0.01113,66,0.006534,73,0.007113,85,0,0,0,1,0,1,0,1,1,2,0,0.252,1,0,0,1,-1.806,20.5,1.566,7.321,2.309,0.582,0.35,0,0,0,1,0,0,0,0,0,0,0,0,4093000,5.728,1,692,2023
