"","country","risk.2023and2024.from2022","rank.2023and2024.from2022","risk.2023only.from2022","riskrank.2023only.from2022","risk.2022and2023.from2021","rank.2022and2023.from2021","mean_mk_onset","mk_onset_prev_year","year","year_sq","mk_ever","mk_ongoing_count_log","newcountry","widetargeting","narrowtargeting","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage_new_ln","wdi.popsize.log2","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","battledeaths.ln2","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.log2.combined","coup.try.5yr","efindex","discrimpop","partyban.new.0","partyban.new.1","partyban.new.2","v2csgender_binary","v2mecenefm_binary","imr.fwd.fill.sqrt","ccode","year_l1","year_sq_l1"
"17","Congo, Democratic Republic of (Zaire)",0.02701,17,0.02016,10,0.02703,19,0.0967741935483871,0,2022,4088484,1,1,0,1,0,1,0,0,0,0,5.97727992349992,26.5610739979084,0.0382340939350464,1,1,0,10.1305705628054,1,3,0,0.6,0,0,0,1,-0.68,-2.31898773596076,0,0.7,0.02,0,0,1,0,1,7.81672615957645,490,2021,4084441
"18","Congo",0.02672,18,0.01238,36,0.03473,12,0.0483870967741935,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,5.97727992349992,22.5094019599393,-0.0372978315775047,1,1,0,0,1,4,1,0.057,0,0,1,1,0.067,-2.126748844682,0,0.704,0,0,0,1,0,1,5.89783296428606,484,2021,4084441
"19","Mozambique",0.02661,19,0.01673,17,0.02656,23,0.0212765957446809,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,5.58496250072116,24.9746294598006,0.00964062500773456,0,1,0,8.54689445988763,1,3,0,0.647,0,0,0,0,1.386,-2.2984099930585,0,0.69,0,0,0,1,0,1,6.48144294456721,541,2021,4084441
"20","Iran (Persia)",0.02561,20,0.01403,26,0.03848,11,0.025974025974026,0,2022,4088484,1,0,0,0,0,0,0,0,1,0,6.28540221886225,26.3999982578463,0.0300970785728209,0,1,1,0,1,1,0,0.318,0,0,1,1,0.309,-3.85569821438696,0,0.743,0.1545,0,1,0,1,1,3.1675170918805,630,2021,4084441
"21","Nepal",0.02532,21,0.01483,24,0.02893,15,0.025974025974026,0,2022,4088484,1,0,0,0,0,0,0,0,0,1,6.28540221886225,24.8645547575031,0.0262202283776776,1,1,0,0,1,3,0,0.835,0,0,0,0,1.318,-3.42433552914554,0,0.86,0,0,0,1,0,0,4.41330772708226,790,2021,4084441
"22","Thailand",0.02525,22,0.01245,34,0.02829,17,0.012987012987013,0,2022,4088484,1,0,0,0,0,0,1,0,0,0,6.28540221886225,26.0954100217298,0.00424131099242375,0,1,1,4.95419631038688,1,4,0,0.165,0,0,0,1,0.032,-1.83707601435236,0,0.352,0.05,0,0,1,0,1,2.54998840053384,800,2021,4084441
"23","Egypt",0.02452,23,0.01485,23,0.02693,21,0.0144927536231884,0,2022,4088484,1,0,0,0,0,0,0,0,1,0,6.12928301694497,26.7258557961301,0.0186754179227814,1,1,0,7.85798099512757,1,2,0,0.097,0,0,0,1,-0.348,-3.88505270988251,0,0.041,0,0,1,0,1,1,3.6815598266235,651,2021,4084441
"24","Niger",0.02436,24,0.0151,22,0.02473,27,0,0,2022,4088484,0,0,0,0,0,1,0,0,0,0,5.97727992349992,24.6435026602011,0.00248471937655466,1,1,0,8.93369065495223,2,3,0,0.759,0,0,0,0,0.949,-3.81020966500357,1,0.666,0,0,0,1,0,0,6.86406546464309,436,2021,4084441
"25","Angola",0.02434,25,0.01675,16,0.02181,31,0.0212765957446809,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,5.58496250072116,25.0849275329717,-0.002861544831184,1,1,1,4.70043971814109,1,3,0,0.619,0,0,0,1,-0.296,-3.06128561009696,0,0.779,0,0,0,1,0,0,6.29220143690139,540,2021,4084441
"26","Tanzania/Tanganyika",0.02417,26,0.01588,20,0.02705,18,0.0163934426229508,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,5.95419631038687,25.9649419677305,0.0264837840407825,0,1,0,0,1,3,0,0.906,0,0,0,0,1.426,-3.97182303729118,0,0.591,0,0,0,1,0,1,5.46942071043359,510,2021,4084441
"27","Chad",0.02357,27,0.01255,33,0.06747,1,0.032258064516129,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,5.97727992349992,24.0791451375608,-0.0184397873593244,1,1,1,5.52356195605702,0,3,1,0.495,0,1,1,1,-1.19,-2.45612291780469,1,0.855,0,0,1,0,0,1,8.06974150973068,483,2021,4084441
"28","Laos",0.0235,28,0.01267,32,0.02446,28,0.0273972602739726,0,2022,4088484,1,0,0,0,0,0,1,0,0,0,6.20945336562895,22.8441178444071,0.0121293168603349,0,1,1,0,1,2,1,0.073,0,0,0,1,0.145,0.017443959001943,0,0.634,0.08,1,0,0,0,1,5.62072235636037,812,2021,4084441
"29","Burkina Faso (Upper Volta)",0.023,29,0.01401,27,0.01369,45,0,0,2022,4088484,0,0,0,0,0,1,0,0,0,0,5.97727992349992,24.4345204451651,0.048024969716988,1,1,0,11,1,3,0,0.665,0,0,0,0,1.279,-3.15073471456727,1,0.767,0,0,0,1,0,0,7.18341645384564,439,2021,4084441
"30","South Africa",0.02284,30,0.0157,21,0.0264,24,0.012987012987013,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,6.28540221886225,25.8359053795709,0.0316944707442742,1,1,0,0,1,4,0,0.844,0,0,0,1,1.06,-2.98973556073816,0,0.856,0,0,0,1,0,0,5.19428694571654,560,2021,4084441
"31","Russia (Soviet Union)",0.02173,31,0.007888,47,0.0206,36,0.025974025974026,0,2022,4088484,1,0,0,0,0,0,0,1,0,0,6.28540221886225,27.0970357359932,0.0309171043589152,1,1,0,0,1,2,0,0.414,0,0,1,0,-1.587,-3.61673669151526,0,0.376,0.0032,0,0,1,0,1,2.02913852224115,365,2021,4084441
"32","Philippines",0.02086,32,0.01354,29,0.02615,25,0.051948051948052,0,2022,4088484,1,1,0,1,0,0,1,0,0,0,6.28540221886225,26.7840544960397,0.0381599106933167,1,1,1,7.59991284218713,1,4,0,0.643,0,0,0,1,-0.915,-2.8155293816977,0,0.807,0,0,1,0,0,1,4.33546087144026,840,2021,4084441
